kepid	koi_period	koi_time0bk	koi_duration	koi_depth	koi_ror	koi_prad	koi_quarters	koi_disposition
4725681	8.295617380	135.7928400	1.34210	8.2430e+02	0.031780	1.82	11110111011101110000000000000000	CONFIRMED
4913852	8.114374820	176.3396800	2.27360	1.5580e+03	0.037204	2.10	11111111111111111000000000000000	CONFIRMED
10875245	14.749148250	138.7779900	6.09950	4.3020e+02	0.018864	2.89	11111101110111011000000000000000	CONFIRMED
5021899	21.812959960	174.0108500	4.37910	1.1754e+03	0.030952	3.38	01101011101110111000000000000000	CONFIRMED
5164255	15.375623690	173.6140200	3.31690	1.5337e+04	0.121030	11.01	01000011011101110000000000000000	CONFIRMED
5252423	8.103632710	176.9486000	3.16100	8.8790e+02	0.026361	2.11	11110111011101110000000000000000	CONFIRMED
5252423	4.715108430	134.9617800	2.50600	4.1750e+02	0.018268	1.46	11110111011101110000000000000000	CONFIRMED
5272878	6.365839713	171.1357500	2.97210	7.8070e+02	0.026275	2.44	11111111111111111000000000000000	CONFIRMED
5651104	3.040330460	169.9490106	1.84110	1.0859e+04	0.104023	8.99	11111111111111111000000000000000	CONFIRMED
5792202	15.335286750	174.0027800	3.89700	3.0814e+03	0.056000	5.00	11111111111111111000000000000000	CONFIRMED
10875245	7.958253280	137.8021900	4.37700	5.0000e+01	0.006915	1.06	11111101110111011000000000000000	CONFIRMED
5792202	31.330461350	153.4303100	5.17600	5.0738e+03	0.072904	6.50	11111111111111111000000000000000	CONFIRMED
5436502	23.653694150	171.3761070	8.21830	3.3418e+03	0.052190	7.89	11111111111111111000000000000000	CONFIRMED
5436502	13.233522140	140.3219600	6.73720	5.0460e+02	0.020278	3.06	11111111111111111000000000000000	CONFIRMED
5436502	6.155602850	134.8165600	4.98430	2.8500e+02	0.015336	2.32	11111111111111111000000000000000	CONFIRMED
5436502	2.090811305	134.1746200	3.38800	1.1590e+02	0.010686	1.62	11111111111111111000000000000000	CONFIRMED
10875245	3.180027898	133.4986300	3.57970	1.2030e+02	0.009989	1.53	11111101110111011000000000000000	CONFIRMED
5436502	50.446741700	178.5014000	7.15900	3.7030e+02	0.017670	2.67	11111111111111111000000000000000	CONFIRMED
5456651	11.763071640	180.9361300	2.90760	1.0373e+03	0.028519	2.35	11111011101110111000000000000000	CONFIRMED
5456651	56.227927100	132.2925900	3.57000	8.6270e+02	0.028683	2.37	11111011101110111000000000000000	CONFIRMED
5531576	7.953547000	174.6622400	2.63120	8.7540e+02	0.026448	2.25	11111111111111111000000000000000	CONFIRMED
5531576	4.144516560	135.9283100	2.34210	3.9180e+02	0.017441	1.48	11111111111111111000000000000000	CONFIRMED
6291653	10.526294577	176.5224620	2.52110	9.7680e+03	0.095143	8.24	11111111111111111000000000000000	CONFIRMED
6392727	4.583520948	169.9739720	2.70550	3.8121e+03	0.056287	5.39	11111111111111111000000000000000	CONFIRMED
6422070	3.761818430	171.9036400	3.51760	5.1060e+02	0.025656	2.66	11110111011101110000000000000000	CONFIRMED
6428700	8.203969580	169.6913800	2.96670	1.0244e+03	0.033372	3.01	11111111111111111000000000000000	CONFIRMED
6428700	14.496451860	143.4165900	4.01600	6.4750e+02	0.033377	3.01	11111111111111111000000000000000	CONFIRMED
5792202	6.546261490	133.8596400	2.75000	6.5590e+02	0.024555	2.19	11111111111111111000000000000000	CONFIRMED
5794379	12.718098660	175.3552600	3.09570	1.1494e+03	0.030871	2.31	11111111111111111000000000000000	CONFIRMED
5794379	36.065881630	198.5842300	4.32460	1.5638e+03	0.035281	2.64	11111111111111111000000000000000	CONFIRMED
5881688	4.190425659	171.4412200	2.85890	2.8774e+03	0.050076	6.21	11111111111111111000000000000000	CONFIRMED
6022556	3.709870784	171.9879820	3.06940	2.0203e+03	0.040686	4.35	11110111011101110000000000000000	CONFIRMED
6032497	16.329752700	177.2950600	6.27100	1.1875e+03	0.034822	3.75	11111111111111111000000000000000	CONFIRMED
6061119	27.807566216	186.7135520	4.21587	2.5391e+04	0.161479	13.84	11111111111111111000000000000000	CONFIRMED
6191521	80.872346900	203.8950000	11.19500	3.6046e+03	0.056129	7.59	11111111111111111000000000000000	CONFIRMED
3531558	24.993243190	138.6816700	5.94090	2.6960e+02	0.015956	2.29	11111111111111111000000000000000	CONFIRMED
6276477	10.355331160	170.9372900	3.17750	7.5060e+02	0.024674	2.47	11111111111111111000000000000000	CONFIRMED
6863998	16.085189370	180.2831900	3.98400	1.4424e+03	0.040767	3.68	11111111111111111000000000000000	CONFIRMED
6948054	7.490183050	174.9503700	2.72970	1.1236e+03	0.029843	2.56	11111111111111111000000000000000	CONFIRMED
6948054	36.276123800	201.2869000	4.78650	1.5726e+03	0.035273	3.03	11111111111111111000000000000000	CONFIRMED
6948054	17.460879310	137.2659400	2.26410	8.1240e+02	0.026969	2.32	11111111111111111000000000000000	CONFIRMED
6435936	56.056075400	201.1657800	4.68500	1.6260e+03	0.036134	1.94	11111111111111111000000000000000	CONFIRMED
6522242	41.408316686	195.7874500	5.02640	2.2839e+04	0.139516	11.38	11111111111111111000000000000000	CONFIRMED
6587280	5.715425977	174.8793100	2.52420	9.0810e+02	0.027348	2.47	11110111011101110000000000000000	CONFIRMED
9471974	49.183941850	141.9119240	11.33640	1.6462e+03	0.036501	8.20	11111111111111111000000000000000	CONFIRMED
6587280	20.026141200	146.9110900	1.61100	4.2120e+02	0.025305	2.28	11110111011101110000000000000000	CONFIRMED
6685526	2.237489571	170.8191400	1.81190	3.1580e+02	0.015942	1.41	11111111111111111000000000000000	CONFIRMED
6784235	3.167893418	172.1479590	2.18140	7.8120e+02	0.025513	2.62	11111111111111111000000000000000	CONFIRMED
6849310	4.311780262	173.5764830	2.72510	1.1540e+03	0.030716	3.11	01111111111111111000000000000000	CONFIRMED
6849310	20.050449400	188.0882100	4.55600	8.4090e+02	0.026569	2.69	01111111111111111000000000000000	CONFIRMED
6849310	9.767345030	186.5771800	1.65850	5.6910e+02	0.026407	2.67	01111111111111111000000000000000	CONFIRMED
9471974	190.320046800	312.6849800	15.28400	1.1417e+03	0.034654	7.78	11111111111111111000000000000000	CONFIRMED
7366258	26.444393370	194.1207400	3.97830	1.8435e+03	0.038511	3.91	11111111111111111000000000000000	CONFIRMED
