kepid	koi_period	koi_prad	koi_quarters
6949607	8.985819010	1.65	11111111111111111000000000000000
7031517	12.940668656	22.94	11111111111111111000000000000000
11869052	20.545237500	2.41	11111111111111111000000000000000
7109675	33.601233710	8.46	11111111111111111000000000000000
7109675	6.766529280	1.97	11111111111111111000000000000000
7118364	4.347288783	2.36	11111111111111111000000000000000
7134976	4.601811819	2.35	11111111111111111000000000000000
7134976	11.187199050	1.55	11111111111111111000000000000000
7135852	4.220965778	2.62	11111111111111111000000000000000
7270230	6.998099523	588.66	11111111111111111000000000000000
7287995	5.954899930	2.33	11111111111111111000000000000000
7287995	12.039874880	2.18	11111111111111111000000000000000
7287995	20.837628950	1.42	11111111111111111000000000000000
3247396	8.811102200	63.66	11111011101110111000000000000000
7303253	23.589171430	3.16	11111111111111111000000000000000
5094751	6.481633073	2.54	11111111111111111000000000000000
7678434	10.371689280	3.20	11111111111111111000000000000000
7678434	3.969962980	1.78	11111111111111111000000000000000
7685981	4.408413310	2.66	01101111111111111000000000000000
7708215	7.942617600	4.68	11111111111111111000000000000000
7373451	226.890477500	4.53	11111111111111111000000000000000
7377033	1.956811408	21.58	11111111111111111000000000000000
7380537	2.688899233	12.04	11111111111111111000000000000000
7434875	9.439459486	4.16	11111111111111111000000000000000
8349582	11.523067458	3.13	11111111111111111000000000000000
7434875	20.477488430	2.92	11111111111111111000000000000000
7434875	3.336123113	1.74	11111111111111111000000000000000
7455287	8.010784560	1.72	11111111111111111000000000000000
7455287	12.071342050	1.29	11111111111111111000000000000000
7455287	20.995878720	1.30	11111111111111111000000000000000
7458762	7.411131770	2.45	11111111111111111000000000000000
7552344	1.000747038	4.14	11111111111111111000000000000000
757450	8.884922995	10.51	11111111111111111000000000000000
7585481	8.098889060	8.95	11111111111111111000000000000000
7663691	10.006530120	3.52	11111111111111111000000000000000
5812701	17.855221681	13.16	11111111111111111000000000000000
8013419	12.732624065	4.87	11111111111111111000000000000000
8018547	83.924940320	4.78	11111111111111111000000000000000
8039892	5.007316661	6.96	11111111111111111000000000000000
8150320	2.211116989	1.85	11111111111111111000000000000000
8150320	27.954133700	1.90	11111111111111111000000000000000
11086270	12.691043870	2.57	11111111111111111000000000000000
7767559	4.409409243	10.95	11111111111111111000000000000000
7825899	16.239470960	4.14	11111111111111111000000000000000
7825899	6.308201629	2.96	11111111111111111000000000000000
7849854	2.052349884	13.12	11111111111111111000000000000000
7870390	9.770448600	2.23	11111111111111111000000000000000
7870390	5.169804269	1.66	11111111111111111000000000000000
5094751	21.222611950	2.48	11111111111111111000000000000000
7870390	20.090170370	2.25	11111111111111111000000000000000
7907423	7.113732570	1.16	11111111111111111000000000000000
7907423	3.306551643	0.91	11111111111111111000000000000000
7907423	15.368457370	1.11	11111111111111111000000000000000
7938496	13.810203180	4.56	11101111111111111000000000000000
8490993	4.093578461	2.85	11111111111111111000000000000000
8490993	105.145959000	3.43	11111111111111111000000000000000
8505670	10.848451800	2.34	11111111111111111000000000000000
8505670	6.668332410	1.18	11111111111111111000000000000000
8544996	4.082274889	10.55	11111111111111111000000000000000
8552202	3.886655224	1.87	11111111111111111000000000000000
8150320	42.140608900	1.85	11111111111111111000000000000000
8150320	4.617490562	1.62	11111111111111111000000000000000
8150320	10.198492550	1.75	11111111111111111000000000000000
8180063	5.795063956	4.33	11111111111111111000000000000000
8226994	7.156815520	2.47	11111111111111111000000000000000
8226994	17.648308510	2.43	11111111111111111000000000000000
8226994	4.148107190	1.08	11111111111111111000000000000000
8247638	16.514109890	2.72	11101111111111111000000000000000
8247638	30.132929800	3.14	11101111111111111000000000000000
8247638	4.790908090	1.36	11101111111111111000000000000000
11086270	31.719810130	3.09	11111111111111111000000000000000
8247638	99.641596200	2.64	11101111111111111000000000000000
8255887	4.708326451	10.60	11111111111111111000000000000000
8256049	16.371986610	540.37	11111111111111111000000000000000
8414716	5.392026903	2.68	11111111111111111000000000000000
9140402	2.494170338	2.42	11111111111111111000000000000000
9141746	6.491682808	9.66	01101111111111111000000000000000
9159275	3.044770796	24.54	11111111111111111000000000000000
9166862	3.855603916	13.61	11111111111111111000000000000000
9166870	3.855599139	3.57	11111111111111111000000000000000
11449844	38.478766290	13.26	11111111111111111000000000000000
8605074	37.601661282	27.22	01101111111111111000000000000000
8628973	3.314947362	3.94	11111111111111111000000000000000
8655354	6.719690890	4.37	11111111111111111000000000000000
8672910	39.643155200	10.98	11111111111111111000000000000000
8686150	51.425985780	29.66	11111111111111111000000000000000
8689031	21.804516110	2.60	11111111111111111000000000000000
8689373	10.281945930	2.53	11111111111111111000000000000000
8689373	18.119930390	2.95	11111111111111111000000000000000
8689373	3.784028670	1.70	11111111111111111000000000000000
8826878	5.154481420	2.94	11111111111111111000000000000000
5897826	33.803643660	20.70	11111111111111111000000000000000
8883593	5.743469797	3.13	11111111111111111000000000000000
8951215	39.475909300	4.06	11111111111111111000000000000000
9016295	19.974485239	26.56	11111111111111111000000000000000
9077124	3.166353562	3.82	01111111111111111000000000000000
9097120	23.899634407	44.04	11111111111111111000000000000000
9466668	3.388012244	2.11	11111111111111111000000000000000
9466668	5.839097610	2.06	11111111111111111000000000000000
9466668	1.620467654	1.57	11111111111111111000000000000000
9466668	10.681695100	2.30	11111111111111111000000000000000
9479273	6.104849417	3.18	11111101110111011000000000000000
8359498	3.578780566	10.43	11111111111111111000000000000000
9171801	3.187067566	23.88	01000100110011001000000000000000
9334289	5.826657508	4.09	11111111111111111000000000000000
9334289	12.412163470	2.58	11111111111111111000000000000000
9334289	18.746490110	3.05	11111111111111111000000000000000
9347899	20.860212290	5.50	11111111111111111000000000000000
9347899	42.634278480	5.22	11111111111111111000000000000000
9347899	87.647606800	4.00	11111111111111111000000000000000
9347899	9.617314260	1.94	11111111111111111000000000000000
9388479	9.467821474	2.13	11111111111111111000000000000000
9388479	0.893040969	1.24	11111111111111111000000000000000
11359879	4.942783419	10.62	11111111111111111000000000000000
9406990	20.834267310	2.74	11111111111111111000000000000000
9415172	9.946023570	3.12	11111111111111111000000000000000
9415172	1.045621950	1.45	11111111111111111000000000000000
9415172	5.714623960	1.78	11111111111111111000000000000000
9904059	102.964195200	39.00	11111101110111011000000000000000
3231341	8.145159810	3.43	11111111111111111000000000000000
3231341	18.998527900	43.17	11111111111111111000000000000000
3231341	4.244390490	2.07	11111111111111111000000000000000
2860866	90.124050700	7.12	00011111111111111000000000000000
7626506	28.574269200	2.32	11111111111111111000000000000000
10460629	856.672115000	3.87	
10319385	0.689210173	1.32	11111111111111111000000000000000
10482160	7.343739640	1.84	11111101110111011000000000000000
10485069	0.445277068	35.74	11111101110111011000000000000000
3233043	0.379463865	59.56	11111111111111111000000000000000
6579806	9.880479780	23.60	11111111111111111000000000000000
3560301	4.648415600	5.06	11111011101110111000000000000000
4044005	17.512014768	13.66	11111111111111111000000000000000
11502218	3.988602100	34.39	11111111111111111000000000000000
11180361	0.533059312	133.56	11111110111011101000000000000000
5802246	0.525154153	23.61	11111011101110111000000000000000
6066403	1.303861044	27.85	11111111111111111000000000000000
6209637	0.734524960		
5988031	2.555491760	23.35	11111111111111111000000000000000
7684873	2.947376671	403.59	11111111111111111000000000000000
8559644	224.778935500	7.67	11111111111111111000000000000000
2851100	0.890110752	1.25	11111111111111111000000000000000
3130300	5.765733960	7.47	11111011101110111000000000000000
3240158	7.426081230	2.47	11111111111111111000000000000000
3240158	15.986893200	1.62	11111111111111111000000000000000
3228959	0.730945890	17.12	11111111111111111000000000000000
3218908	18.925372460	13.92	11111111111111111000000000000000
10341913	0.933749106	3.22	11111111111111111000000000000000
10480921	2.037440623	1.19	11111101110111011000000000000000
10287723	129995.778400000	2.99	
10350571	31.592580900	1.78	11111101110111011000000000000000
10350571	17.157236000	1.55	11111101110111011000000000000000
3749365	1.973760850	8.78	01111111111111111000000000000000
11013201	13.118962443	8.25	11111111111111111000000000000000
11673674	4.618767792	7.48	11111111111111111000000000000000
11013201	7.821873280	2.78	11111111111111111000000000000000
9414417	53.505761100	2.52	11111111111111111000000000000000
3632418	2.785821236	1.69	11111111111111111000000000000000
3441784	52.569018670	78.54	11111111111111111000000000000000
5820218	3.411758679	14.71	11111111111111111000000000000000
5876368	0.525426427	1.45	11111111111111111000000000000000
5809890	1.269091415	1.41	11111111111111111000000000000000
5809890	2.853133997	1.36	11111111111111111000000000000000
6131236	6.796853530	2.01	11111111111111111000000000000000
9048161	8.667822346	67.37	11111111111111111000000000000000
3218908	1.475323222	5.88	11111111111111111000000000000000
3218908	4.152461180	7.62	11111111111111111000000000000000
3235672	6.721078300		
2837111	8.734885200	1.59	11111111111111111000000000000000
3120276	10.265476880	1.81	11111111111111111000000000000000
2307199	13.447179100	5.24	11111111111111111000000000000000
3547091	3.305577989	25.89	01111111111111111000000000000000
3869825	4.800653901	16.91	11111011101110111000000000000000
3655332	15.066499010	56.44	11111011101110111000000000000000
4042026	34.820081580	11.36	11111111111111111000000000000000
3344419	0.651784374	33.65	11111111111111111000000000000000
11192141	1.353771892	430.99	11111111111111111000000000000000
11494130	18.954916330	71.39	11111110111011101000000000000000
